uid,bd_earner_only,bd_members_respfor,bd_bizsector,e_total_employees,e_fulltime_employees,e_parttime_employees,e_casual_employees,e_male_employees,e_female_employees,e_related_employees,e_refugees_employees,Howmanyemployeesarefromthe,sr_bank_account,sr_pri_inc_sourcs,sr_access_newfunds,IfYesinQ31howhaveyouacce,sr_access,sr_access_1,sr_access_2,sr_access_3,sr_access_4,sr_access_5,sr_access_6,sr_access_7,sr_access_8,sr_access_9,sr_access_no,Onaveragehowmanycustomersd,sr_customers_hwmny,OUTLIERCHECKONTHENUMBEROFC,sr_customers_main,sr_records_keepb,sr_mnthly_sales_total,OUTLIERCHECKONTHEAVERAGEMON,sr_fluctuations,sr_revstreams_most,sr_revstreams_least,BI,BJ,BK,BL,Onascaleof1to5where1me,knwrate_sales,knwrate_ops_mgt,knwrate_invent_mgt,knwrate_bkeeping,knwrate_cashflow,skill_imprv1,skill_imprv2,skill_imprv3,skill_imprv4,Howmanymealsdoesyourhouseho,liv_meals_number_base,Inthelast4monthsdidyoubu,liv_assetsbght_4mnths,liv_cookingfuel,CB,CC,liv_expnseschl_3mnths,liv_expnsecooking,liv_expnsehhclthng,liv_expnserent,liv_expnsetrans_comm,aec_knowledge
part/KE16012104001,Yes,12,Fashion,3,3,0,0,2,1,1,3,0,Yes,My Own Business,No,,"Personal Savings, 0",0,180000,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,100,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,40000,,"Yes, Strongly Flactuating",December,Februrary,Competing Expenditure From Other Needs,,,,,4,4,4,5,4,Sales,Operations Management,Book Keeping,Cash Flow And Inventory Management,,Three Times And More,Three Times A Week Or More,"None, Sewing Machine",Charcoal,,,0,1500,1000,0,2000,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104002,Yes,1,Shop & Retail,1,1,0,0,1,0,0,1,0,No,My Own Business,No,,Personal Savings,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,200,,Individuals From The Camp (Refugee Customers),Yes,120000,,"Yes, Somewhat Flactuating",December,Februrary,Competing Expenditure From Other Needs,Calamities/ Pandemic,High Transportation Costs,,,3,2,2,2,4,Investment Readiness (How Ready Are You For Invest,Book Keeping,Cash Flow And Inventory Management,,,Twice A Day,Three Times A Week Or More,None,Charcoal,,,0,1000,2000,0,2000,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104003,Yes,11,Clothes And Textile,1,1,0,0,0,1,0,1,0,Yes,My Own Business,No,,She Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,300,,Individuals From The Camp (Refugee Customers),No,60000,,"Yes, Somewhat Flactuating",October,Februrary,Competing Expenditure From Other Needs,,,,,2,2,2,3,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Three Times And More,Twice A Week,None,Firewood,Charcoal,,0,700,4000,0,600,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104004,Yes,8,Shop & Retail,3,1,2,0,1,2,2,3,0,Yes,My Own Business,No,,None,0,0,0,0,0,0,0,0,0,"I Do Not Qualify For Credit, Or I Applied And Was Rejected","I Do Not Qualify For Credit, Or I Applied And Was Rejected",300,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,120000,,"Yes, Strongly Flactuating",December,Februrary,Competing Expenditure From Other Needs,,,,,4,4,4,3,3,Sales,,,,,Three Times And More,Three Times A Week Or More,"Chairs, Tables, Bed, Or Other Furniture",Firewood,Charcoal,,0,1500,12000,0,1400,Past Clients
part/KE16012104005,Yes,10,Fashion,3,3,0,0,3,0,3,3,0,No,My Own Business,No,,"Business Revenue To Reinvest, Personal Savings",0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,50,,Individuals From The Camp (Refugee Customers),Yes,50000,,"Yes, Strongly Flactuating",December,Februrary,Competing Expenditure From Other Needs,High Transportation Costs,,,,3,4,4,3,3,Sales,Operations Management,Cash Flow And Inventory Management,,,Twice A Day,Twice A Week,None,Charcoal,,,0,2000,3000,0,2000,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104006,Yes,13,Shop & Retail,2,3,2,0,1,1,2,2,0,Yes,My Own Business,Yes,Business Revenue To Reinvest,Business Revenue To Reinvest,120000,0,0,0,0,0,0,0,0,I Have Received Finance,,700,,Individuals From The Camp (Refugee Customers),Yes,12000,,"Yes, Strongly Flactuating",December,April,High Transportation Costs,,,,,4,4,3,3,4,Sales,,,,,Twice A Day,Once A Week,"Chairs, Tables, Bed, Or Other Furniture",Firewood,Charcoal,,7000,700,3000,0,1500,Fellow Entrepreneur/Business Owner
part/KE16012104007,Yes,1,Clothes And Textile,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,140,,Individuals From The Camp (Refugee Customers),No,15000,,"Yes, Somewhat Flactuating",November,Februrary,Competing Expenditure From Other Needs,,,,,2,2,2,2,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Charcoal,,,0,1500,5500,0,1500,Aec-Kenya Staff
part/KE16012104008,Yes,8,Shop & Retail,2,2,1,0,2,0,1,2,0,Yes,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,300,,Individuals From The Camp (Refugee Customers),No,60000,,"Yes, Somewhat Flactuating",December,March,Competing Expenditure From Other Needs,,,,,3,3,2,3,4,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Three Times And More,Twice A Week,None,Charcoal,,,0,0,0,0,1500,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104009,No,9,Shop & Retail,2,2,0,0,1,1,1,2,0,No,My Own Business,No,,Personal Savings,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,80,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,70000,,"Yes, Somewhat Flactuating",December,Februrary,Competing Expenditure From Other Needs,High Transportation Costs,,,,3,3,3,3,4,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Three Times And More,Three Times A Week Or More,None,Charcoal,,,3500,1300,2000,0,3000,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104010,Yes,7,Shop & Retail,2,2,0,0,2,0,0,2,0,Yes,My Own Business,No,,"Personal Savings, Loan From Family/Friends",0,100000,0,60000,0,0,0,0,0,"I Have Never Thought About Credit As An Option, I Do Not Trust Financial Institutions/Debt Makes Me",I Have Never Thought About Credit As An Option,600,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,600000,Outlier,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,,,,,4,2,3,3,2,Sales,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,,Three Times And More,Three Times A Week Or More,Clothes,Firewood,Charcoal,,33000,1200,3000,200,4500,Aec-Kenya Staff
